secs,avg_load
0,26.7
2,26.7
5,26.5
7,26.5
10,26.4
13,26.2
15,26.3
18,26.4
20,26.4
23,26.2
26,26.0
28,26.3
31,26.5
33,26.4
36,26.4
38,26.2
41,26.4
43,26.4
46,26.5
49,26.5
51,26.4
54,26.4
56,26.4
59,100.0
61,98.5
64,100.0
67,98.1
69,83.1
72,97.5
74,95.7
77,93.7
79,68.0
82,96.6
84,93.2
87,95.5
90,96.1
92,79.2
95,84.4
97,88.1
100,92.2
102,95.1
105,100.0
107,97.1
110,92.1
113,100.0
115,92.3
118,77.2
120,96.0
123,54.9
125,78.4
128,87.1
130,26.5
