secs,avg_load
0,26.7
2,26.6
5,26.3
8,26.4
11,26.5
13,26.5
16,98.5
18,98.2
21,87.5
24,95.7
26,91.3
29,100.0
31,100.0
34,95.8
36,97.6
39,98.1
41,94.7
44,96.7
47,100.0
49,99.1
52,100.0
54,93.9
57,94.3
59,97.4
62,98.8
64,100.0
67,92.7
69,100.0
72,76.1
75,89.9
77,73.5
80,84.3
82,92.8
85,75.9
87,96.6
90,86.6
92,26.5
95,26.5
97,26.5
100,26.6
103,26.5
105,26.4
