0,3.5500,26.7
2,3.5500,26.6
5,3.5500,26.3
8,3.5500,26.4
11,3.5500,26.5
13,3.5500,26.5
16,3.5500,98.5
18,3.5500,98.2
21,3.5500,87.5
24,3.5500,95.7
26,3.5500,91.3
29,3.5500,100.0
31,3.5500,100.0
34,3.5500,95.8
36,3.5500,97.6
39,3.5500,98.1
41,3.5500,94.7
44,3.5500,96.7
47,3.5500,100.0
49,3.5500,99.1
52,3.5500,100.0
54,3.5500,93.9
57,3.5500,94.3
59,3.5500,97.4
62,3.5500,98.8
64,3.5500,100.0
67,3.5500,92.7
69,3.5500,100.0
72,3.5500,76.1
75,3.5500,89.9
77,3.5500,73.5
80,3.5500,84.3
82,3.5500,92.8
85,3.5500,75.9
87,3.5500,96.6
90,3.5500,86.6
92,3.5500,26.5
95,3.5500,26.5
97,3.5500,26.5
100,3.5500,26.6
103,3.5500,26.5
105,3.5500,26.4

0,4.4500,26.7
2,4.4500,26.6
5,4.4500,26.3
8,4.4500,26.4
11,4.4500,26.5
13,4.4500,26.5
16,4.4500,98.5
18,4.4500,98.2
21,4.4500,87.5
24,4.4500,95.7
26,4.4500,91.3
29,4.4500,100.0
31,4.4500,100.0
34,4.4500,95.8
36,4.4500,97.6
39,4.4500,98.1
41,4.4500,94.7
44,4.4500,96.7
47,4.4500,100.0
49,4.4500,99.1
52,4.4500,100.0
54,4.4500,93.9
57,4.4500,94.3
59,4.4500,97.4
62,4.4500,98.8
64,4.4500,100.0
67,4.4500,92.7
69,4.4500,100.0
72,4.4500,76.1
75,4.4500,89.9
77,4.4500,73.5
80,4.4500,84.3
82,4.4500,92.8
85,4.4500,75.9
87,4.4500,96.6
90,4.4500,86.6
92,4.4500,26.5
95,4.4500,26.5
97,4.4500,26.5
100,4.4500,26.6
103,4.4500,26.5
105,4.4500,26.4

