source_ip,percentage,requests_served,time_ms
192.168.100.12,0,5.887
192.168.100.12,1,5.887
192.168.100.12,2,5.887
192.168.100.12,3,7.066
192.168.100.12,4,7.066
192.168.100.12,5,7.066
192.168.100.12,6,7.066
192.168.100.12,7,7.066
192.168.100.12,8,7.557
192.168.100.12,9,7.557
192.168.100.12,10,7.557
192.168.100.12,11,7.557
192.168.100.12,12,7.557
192.168.100.12,13,7.639
192.168.100.12,14,7.639
192.168.100.12,15,7.639
192.168.100.12,16,7.639
192.168.100.12,17,7.639
192.168.100.12,18,7.772
192.168.100.12,19,7.772
192.168.100.12,20,7.772
192.168.100.12,21,7.772
192.168.100.12,22,7.772
192.168.100.12,23,8.246
192.168.100.12,24,8.246
192.168.100.12,25,8.246
192.168.100.12,26,8.246
192.168.100.12,27,8.246
192.168.100.12,28,8.434
192.168.100.12,29,8.434
192.168.100.12,30,8.434
192.168.100.12,31,8.434
192.168.100.12,32,8.434
192.168.100.12,33,8.537
192.168.100.12,34,8.537
192.168.100.12,35,8.537
192.168.100.12,36,8.537
192.168.100.12,37,8.537
192.168.100.12,38,10.432
192.168.100.12,39,10.432
192.168.100.12,40,10.432
192.168.100.12,41,10.432
192.168.100.12,42,10.432
192.168.100.12,43,1050.826
192.168.100.12,44,1050.826
192.168.100.12,45,1050.826
192.168.100.12,46,1050.826
192.168.100.12,47,1050.826
192.168.100.12,48,1051.624
192.168.100.12,49,1051.624
192.168.100.12,50,1051.624
192.168.100.12,51,1051.624
192.168.100.12,52,1051.624
192.168.100.12,53,1051.783
192.168.100.12,54,1051.783
192.168.100.12,55,1051.783
192.168.100.12,56,1051.783
192.168.100.12,57,1051.783
192.168.100.12,58,1052.353
192.168.100.12,59,1052.353
192.168.100.12,60,1052.353
192.168.100.12,61,1052.353
192.168.100.12,62,1052.353
192.168.100.12,63,1052.951
192.168.100.12,64,1052.951
192.168.100.12,65,1052.951
192.168.100.12,66,1052.951
192.168.100.12,67,1052.951
192.168.100.12,68,1053.739
192.168.100.12,69,1053.739
192.168.100.12,70,1053.739
192.168.100.12,71,1053.739
192.168.100.12,72,1053.739
192.168.100.12,73,1055.890
192.168.100.12,74,1055.890
192.168.100.12,75,1055.890
192.168.100.12,76,1055.890
192.168.100.12,77,1055.890
192.168.100.12,78,1055.950
192.168.100.12,79,1055.950
192.168.100.12,80,1055.950
192.168.100.12,81,1055.950
192.168.100.12,82,1055.950
192.168.100.12,83,1056.008
192.168.100.12,84,1056.008
