secs,avg_load
0,26.5
3,26.4
5,26.0
8,26.4
11,26.4
13,26.2
16,26.4
18,26.5
21,26.4
23,26.4
26,26.4
28,26.3
31,26.4
34,26.2
36,26.1
39,26.4
41,26.3
44,26.3
46,26.4
49,26.1
51,26.3
53,26.4
56,95.2
58,100.0
61,69.4
64,90.2
66,92.5
69,100.0
71,100.0
74,90.5
76,96.8
79,95.0
81,90.4
84,98.9
87,90.0
89,90.1
92,93.9
94,91.5
97,91.7
99,96.2
102,92.3
104,100.0
107,97.3
110,97.4
112,96.6
115,94.1
117,87.5
120,82.9
122,76.9
125,26.5
127,26.5
130,26.5
133,26.4
135,26.5
138,26.4
