secs,ttime
126,3
126,3
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,4
126,5
126,5
126,5
126,5
126,5
126,5
126,5
126,5
126,5
126,5
126,5
126,5
126,5
126,6
126,6
126,6
126,6
126,6
126,6
126,6
126,6
126,6
126,7
126,7
126,7
126,7
126,7
126,7
126,7
126,7
126,7
126,8
126,9
126,9
118,11
126,13
54,91
77,104
116,204
93,205
124,205
56,205
54,216
54,308
126,309
125,408
55,409
124,409
125,409
124,409
54,591
79,626
88,717
80,911
55,1229
92,1278
89,1434
90,1794
57,1945
116,1953
77,2251
59,2764
61,4733
72,5016
118,5509
66,5815
81,7064
93,22833
