source_ip,percentage,requests_served,time_ms
192.168.100.10,0,97.071
192.168.100.10,1,97.071
192.168.100.10,2,97.071
192.168.100.10,3,100.478
192.168.100.10,4,100.478
192.168.100.10,5,100.478
192.168.100.10,6,100.478
192.168.100.10,7,100.478
192.168.100.10,8,100.584
192.168.100.10,9,100.584
192.168.100.10,10,100.584
192.168.100.10,11,100.584
192.168.100.10,12,100.584
192.168.100.10,13,108.650
192.168.100.10,14,108.650
192.168.100.10,15,108.650
192.168.100.10,16,108.650
192.168.100.10,17,108.650
192.168.100.10,18,197.796
192.168.100.10,19,197.796
192.168.100.10,20,197.796
192.168.100.10,21,197.796
192.168.100.10,22,197.796
192.168.100.10,23,482.021
192.168.100.10,24,482.021
192.168.100.10,25,482.021
192.168.100.10,26,482.021
192.168.100.10,27,482.021
192.168.100.10,28,499.143
192.168.100.10,29,499.143
192.168.100.10,30,499.143
192.168.100.10,31,499.143
192.168.100.10,32,499.143
192.168.100.10,33,587.458
192.168.100.10,34,587.458
192.168.100.10,35,587.458
192.168.100.10,36,587.458
192.168.100.10,37,587.458
192.168.100.10,38,587.686
192.168.100.10,39,587.686
192.168.100.10,40,587.686
192.168.100.10,41,587.686
192.168.100.10,42,587.686
192.168.100.10,43,590.907
192.168.100.10,44,590.907
192.168.100.10,45,590.907
192.168.100.10,46,590.907
192.168.100.10,47,590.907
192.168.100.10,48,602.372
192.168.100.10,49,602.372
192.168.100.10,50,602.372
192.168.100.10,51,602.372
192.168.100.10,52,602.372
192.168.100.10,53,27809.245
192.168.100.10,54,27809.245
192.168.100.10,55,27809.245
192.168.100.10,56,27809.245
192.168.100.10,57,27809.245
192.168.100.10,58,29002.559
192.168.100.10,59,29002.559
192.168.100.10,60,29002.559
192.168.100.10,61,29002.559
192.168.100.10,62,29002.559
192.168.100.10,63,31914.341
192.168.100.10,64,31914.341
192.168.100.10,65,31914.341
192.168.100.10,66,31914.341
192.168.100.10,67,31914.341
192.168.100.10,68,35867.702
192.168.100.10,69,35867.702
192.168.100.10,70,35867.702
192.168.100.10,71,35867.702
192.168.100.10,72,35867.702
192.168.100.10,73,39098.378
192.168.100.10,74,39098.378
192.168.100.10,75,39098.378
192.168.100.10,76,39098.378
192.168.100.10,77,39098.378
192.168.100.10,78,62544.984
192.168.100.10,79,62544.984
192.168.100.10,80,62544.984
192.168.100.10,81,62544.984
192.168.100.10,82,62544.984
192.168.100.10,83,79876.393
192.168.100.10,84,79876.393
192.168.100.10,85,79876.393
192.168.100.10,86,79876.393
192.168.100.10,87,79876.393
192.168.100.10,88,126458.121
192.168.100.10,89,126458.121
192.168.100.10,90,126458.121
192.168.100.10,91,126458.121
192.168.100.10,92,126458.121
192.168.100.10,93,126475.854
192.168.100.10,94,126475.854
192.168.100.10,95,126475.854
192.168.100.10,96,126475.854
192.168.100.10,97,126475.854
192.168.100.10,98,0.257
192.168.100.10,99,0.257
192.168.100.10,100,126475.854
192.168.100.11,0,90.043
192.168.100.11,1,90.043
192.168.100.11,2,90.043
192.168.100.11,3,97.159
192.168.100.11,4,97.159
192.168.100.11,5,97.159
192.168.100.11,6,97.159
192.168.100.11,7,97.159
192.168.100.11,8,103.179
192.168.100.11,9,103.179
192.168.100.11,10,103.179
192.168.100.11,11,103.179
192.168.100.11,12,103.179
192.168.100.11,13,104.312
192.168.100.11,14,104.312
192.168.100.11,15,104.312
192.168.100.11,16,104.312
192.168.100.11,17,104.312
192.168.100.11,18,104.475
192.168.100.11,19,104.475
192.168.100.11,20,104.475
192.168.100.11,21,104.475
192.168.100.11,22,104.475
192.168.100.11,23,107.143
192.168.100.11,24,107.143
192.168.100.11,25,107.143
192.168.100.11,26,107.143
192.168.100.11,27,107.143
192.168.100.11,28,127.470
192.168.100.11,29,127.470
192.168.100.11,30,127.470
192.168.100.11,31,127.470
192.168.100.11,32,127.470
192.168.100.11,33,191.671
192.168.100.11,34,191.671
192.168.100.11,35,191.671
192.168.100.11,36,191.671
192.168.100.11,37,191.671
192.168.100.11,38,202.718
192.168.100.11,39,202.718
192.168.100.11,40,202.718
192.168.100.11,41,202.718
192.168.100.11,42,202.718
192.168.100.11,43,203.000
192.168.100.11,44,203.000
192.168.100.11,45,203.000
192.168.100.11,46,203.000
192.168.100.11,47,203.000
192.168.100.11,48,203.360
192.168.100.11,49,203.360
192.168.100.11,50,203.360
192.168.100.11,51,203.360
192.168.100.11,52,203.360
192.168.100.11,53,205.803
192.168.100.11,54,205.803
192.168.100.11,55,205.803
192.168.100.11,56,205.803
192.168.100.11,57,205.803
192.168.100.11,58,206.072
192.168.100.11,59,206.072
192.168.100.11,60,206.072
192.168.100.11,61,206.072
192.168.100.11,62,206.072
192.168.100.11,63,210.872
192.168.100.11,64,210.872
192.168.100.11,65,210.872
192.168.100.11,66,210.872
192.168.100.11,67,210.872
192.168.100.11,68,229.088
192.168.100.11,69,229.088
192.168.100.11,70,229.088
192.168.100.11,71,229.088
192.168.100.11,72,229.088
192.168.100.11,73,282.860
192.168.100.11,74,282.860
192.168.100.11,75,282.860
192.168.100.11,76,282.860
192.168.100.11,77,282.860
192.168.100.11,78,308.218
192.168.100.11,79,308.218
192.168.100.11,80,308.218
192.168.100.11,81,308.218
192.168.100.11,82,308.218
192.168.100.11,83,308.385
192.168.100.11,84,308.385
192.168.100.11,85,308.385
192.168.100.11,86,308.385
192.168.100.11,87,308.385
192.168.100.11,88,409.990
192.168.100.11,89,409.990
192.168.100.11,90,409.990
192.168.100.11,91,409.990
192.168.100.11,92,409.990
192.168.100.11,93,28969.027
192.168.100.11,94,28969.027
192.168.100.11,95,28969.027
192.168.100.11,96,28969.027
192.168.100.11,97,28969.027
192.168.100.11,98,0.257
192.168.100.11,99,0.257
192.168.100.11,100,28969.027
192.168.100.12,0,207.119
192.168.100.12,1,207.119
192.168.100.12,2,207.119
192.168.100.12,3,279.244
192.168.100.12,4,279.244
192.168.100.12,5,279.244
192.168.100.12,6,279.244
192.168.100.12,7,279.244
192.168.100.12,8,289.938
192.168.100.12,9,289.938
192.168.100.12,10,289.938
192.168.100.12,11,289.938
192.168.100.12,12,289.938
192.168.100.12,13,304.536
192.168.100.12,14,304.536
192.168.100.12,15,304.536
192.168.100.12,16,304.536
192.168.100.12,17,304.536
192.168.100.12,18,305.524
192.168.100.12,19,305.524
192.168.100.12,20,305.524
192.168.100.12,21,305.524
192.168.100.12,22,305.524
192.168.100.12,23,306.148
192.168.100.12,24,306.148
192.168.100.12,25,306.148
192.168.100.12,26,306.148
192.168.100.12,27,306.148
192.168.100.12,28,306.976
192.168.100.12,29,306.976
192.168.100.12,30,306.976
192.168.100.12,31,306.976
192.168.100.12,32,306.976
