secs,avg_load
0,26.6
2,26.6
5,26.4
7,26.3
10,26.3
12,26.5
15,26.6
17,26.5
19,26.2
22,89.7
24,98.6
27,100.0
29,98.7
32,100.0
35,98.1
37,100.0
40,92.9
42,94.4
45,91.8
47,97.7
50,98.5
52,93.4
55,88.5
57,98.9
60,90.0
63,98.4
65,100.0
68,94.9
70,96.4
73,98.4
75,96.3
78,97.4
80,80.0
83,81.4
85,76.2
88,86.5
90,91.0
93,82.5
96,26.8
98,26.5
101,26.8
103,26.8
106,26.8
109,26.7
111,26.4
114,26.6
116,26.7
