timestamp,cpu_usage_pct,mem_used_mb,mem_total_mb,mem_usage_pct,buffers_mb,cached_mb,disk_read_mb_s,disk_write_mb_s,disk_used_gb,disk_total_gb,disk_usage_pct,net_rx_mb_s,net_tx_mb_s,total_connections,established,syn_recv,time_wait,close_wait,haproxy_active_conns,server2_up,server3_up,avg_load_pct
2026-04-23 12:14:29,0.0,897.12,1966.89,45.61,42.2,799.71,0.0,0.0,13.34,24.44,54.58,0.0,0.0,13,5,0,0,0,0,0,0,60.8
2026-04-23 12:14:32,39.0,904.88,1966.89,46.01,42.3,799.93,0.18,0.05,13.34,24.44,54.58,0.01,0.01,14,5,0,1,0,0,0,0,71.1
2026-04-23 12:14:34,20.88,904.84,1966.89,46.0,42.3,799.98,0.0,1.06,13.34,24.44,54.58,0.0,0.0,14,5,0,1,0,0,1,0,60.7
2026-04-23 12:14:37,26.44,904.73,1966.89,46.0,42.3,799.92,0.0,0.04,13.34,24.44,54.58,0.0,0.0,14,5,0,1,0,0,1,0,60.6
2026-04-23 12:14:40,25.0,904.6,1966.89,45.99,42.31,800.0,0.0,0.03,13.34,24.44,54.58,0.0,0.0,14,5,0,1,0,0,1,0,60.6
2026-04-23 12:14:44,27.45,904.54,1966.89,45.99,42.31,799.95,0.0,0.02,13.34,24.44,54.58,0.0,0.0,14,5,0,1,0,0,1,0,60.6
2026-04-23 12:14:47,26.5,904.19,1966.89,45.97,42.32,800.01,0.0,0.43,13.34,24.44,54.58,0.0,0.0,14,5,0,1,0,0,1,0,60.6
2026-04-23 12:14:50,27.09,904.02,1966.89,45.96,42.32,799.95,0.01,0.11,13.34,24.44,54.58,0.0,0.0,14,5,0,1,0,0,1,0,60.6
2026-04-23 12:14:53,27.45,903.91,1966.89,45.96,42.33,799.94,0.0,0.05,13.34,24.44,54.58,0.0,0.0,14,5,0,1,0,0,1,0,60.6
2026-04-23 12:14:56,26.63,903.7,1966.89,45.95,42.34,800.01,0.0,0.03,13.34,24.44,54.58,0.0,0.0,14,5,0,1,0,0,1,0,60.6
2026-04-23 12:15:00,0.0,903.51,1966.89,45.94,42.34,799.96,0.0,0.0,13.34,24.44,54.58,0.0,0.0,15,5,0,1,0,0,1,0,60.6
2026-04-23 12:15:03,27.96,903.37,1966.89,45.93,42.35,799.94,0.04,0.05,13.34,24.44,54.58,0.0,0.0,14,5,0,1,0,0,1,0,60.6
2026-04-23 12:15:06,26.7,902.97,1966.89,45.91,42.36,799.99,0.0,0.77,13.34,24.44,54.58,0.0,0.0,16,7,0,1,0,0,1,0,71.4
2026-04-23 12:15:09,40.27,902.9,1966.89,45.91,42.36,799.97,0.0,0.0,13.34,24.44,54.58,0.16,0.1,221,205,0,6,0,101,1,1,83.47
2026-04-23 12:15:13,50.87,902.72,1966.89,45.9,42.36,800.04,0.0,0.03,13.34,24.44,54.58,0.17,0.11,233,208,0,17,0,99,1,1,83.73
2026-04-23 12:15:18,27.22,902.25,1966.89,45.87,42.37,800.15,0.0,0.03,13.34,24.44,54.58,0.02,0.01,231,206,0,17,0,99,1,1,99.57
2026-04-23 12:15:23,39.3,902.12,1966.89,45.87,42.38,800.14,0.0,0.13,13.34,24.44,54.58,0.16,0.1,235,208,0,18,0,100,1,1,100.0
2026-04-23 12:15:28,47.18,901.85,1966.89,45.85,42.39,800.19,0.0,0.04,13.34,24.44,54.58,0.19,0.11,236,203,0,18,0,101,1,1,83.6
2026-04-23 12:15:33,26.92,901.5,1966.89,45.83,42.39,800.2,0.0,0.09,13.34,24.44,54.58,0.02,0.01,234,206,0,19,0,101,1,1,88.6
2026-04-23 12:15:38,35.36,901.21,1966.89,45.82,42.4,800.2,0.0,4.08,13.34,24.44,54.58,0.11,0.07,238,205,0,21,0,101,1,1,100.0
2026-04-23 12:15:43,47.06,901.28,1966.89,45.82,42.41,800.26,0.0,0.03,13.34,24.44,54.58,0.2,0.12,239,201,0,22,0,95,1,1,99.57
2026-04-23 12:15:48,41.27,901.49,1966.89,45.83,42.42,800.31,0.0,0.03,13.34,24.44,54.58,0.18,0.11,246,207,0,31,0,101,1,1,100.0
2026-04-23 12:15:52,52.72,902.94,1966.89,45.91,42.43,800.35,0.0,0.77,13.34,24.44,54.58,0.24,0.15,232,191,0,33,0,64,1,1,83.77
2026-04-23 12:15:58,28.05,902.77,1966.89,45.9,42.44,800.38,0.0,0.06,13.34,24.44,54.58,0.01,0.01,207,164,0,35,0,53,1,1,83.57
2026-04-23 12:16:03,26.95,902.81,1966.89,45.9,42.45,800.38,0.0,0.03,13.34,24.44,54.58,0.01,0.0,201,157,0,36,0,44,1,1,92.87
