Percentage served,Time in ms
0,1172.469
1,1172.469
2,1172.469
3,1636.560
4,1636.560
5,1636.560
6,1636.560
7,1636.560
8,1642.216
9,1642.216
10,1642.216
11,1642.216
12,1642.216
13,1642.443
14,1642.443
15,1642.443
16,1642.443
17,1642.443
18,1645.028
19,1645.028
20,1645.028
21,1645.028
22,1645.028
23,1646.530
24,1646.530
25,1646.530
26,1646.530
27,1646.530
28,1648.020
29,1648.020
30,1648.020
31,1648.020
32,1648.020
33,1649.995
34,1649.995
35,1649.995
36,1649.995
37,1649.995
38,1652.647
39,1652.647
40,1652.647
41,1652.647
42,1652.647
43,2151.126
44,2151.126
45,2151.126
46,2151.126
47,2151.126
48,112450.000
49,112450.000
50,112450.000
51,112450.000
52,112450.000
53,112452.662
54,112452.662
55,112452.662
56,112452.662
57,112452.662
58,112454.641
59,112454.641
60,112454.641
61,112454.641
62,112454.641
63,112456.141
64,112456.141
65,112456.141
66,112456.141
67,112456.141
68,112457.658
69,112457.658
70,112457.658
71,112457.658
72,112457.658
73,112460.249
74,112460.249
75,112460.249
76,112460.249
77,112460.249
78,112460.481
79,112460.481
80,112460.481
81,112460.481
82,112460.481
83,112466.110
84,112466.110
85,112466.110
86,112466.110
87,112466.110
88,112930.576
89,112930.576
90,112930.576
91,112930.576
92,112930.576
93,120113.694
94,120113.694
95,120113.694
96,120113.694
97,120113.694
98,0.257
99,0.257
100,120113.694
