secs,ttime
124,4
124,4
124,4
124,4
124,4
124,4
124,4
124,5
124,5
124,5
124,5
124,5
124,5
124,5
124,5
124,5
124,5
124,5
124,5
124,5
124,5
124,5
124,5
124,6
124,6
124,6
124,6
124,6
124,6
124,6
124,6
124,6
124,6
124,6
124,6
124,6
124,7
124,7
124,7
124,7
124,7
124,7
124,7
124,7
124,7
124,7
124,7
124,7
124,7
124,7
124,8
124,8
124,8
124,8
124,8
124,8
124,8
124,8
124,8
124,9
124,9
124,9
124,9
124,9
124,9
124,9
124,9
124,10
124,10
124,10
124,10
124,10
124,10
124,10
124,10
124,10
124,10
124,11
124,11
124,12
124,13
124,14
124,101
58,104
124,108
57,205
57,307
98,307
57,389
57,409
97,1228
82,1842
84,2049
79,2765
69,3715
58,3715
73,6618
62,7248
86,10956
98,25189
