Percentage served,Time in ms
0,319.298
1,319.298
2,319.298
3,478.682
4,478.682
5,478.682
6,478.682
7,478.682
8,622.661
9,622.661
10,622.661
11,622.661
12,622.661
13,732.699
14,732.699
15,732.699
16,732.699
17,732.699
18,756.053
19,756.053
20,756.053
21,756.053
22,756.053
23,756.108
24,756.108
25,756.108
26,756.108
27,756.108
28,756.157
29,756.157
30,756.157
31,756.157
32,756.157
33,852.030
34,852.030
35,852.030
36,852.030
37,852.030
38,878.645
39,878.645
40,878.645
41,878.645
42,878.645
43,962.254
44,962.254
45,962.254
46,962.254
47,962.254
48,969.214
49,969.214
50,969.214
51,969.214
52,969.214
53,992.694
54,992.694
55,992.694
56,992.694
57,992.694
58,1016.617
59,1016.617
60,1016.617
61,1016.617
62,1016.617
63,1041.378
64,1041.378
65,1041.378
66,1041.378
67,1041.378
68,1097.990
69,1097.990
70,1097.990
71,1097.990
72,1097.990
73,1126.298
74,1126.298
75,1126.298
76,1126.298
77,1126.298
78,1157.288
79,1157.288
80,1157.288
81,1157.288
82,1157.288
83,1422.605
84,1422.605
85,1422.605
86,1422.605
87,1422.605
88,1428.008
89,1428.008
90,1428.008
91,1428.008
92,1428.008
93,43376.175
94,43376.175
95,43376.175
96,43376.175
97,43376.175
98,0.257
99,0.257
100,43376.175
